id,lat,lng,name,company,line,railroadDivision,railroadCompanyClassification,duplicate2011,dataEorN2011,passengers2011,duplicate2012,dataEorN2012,passengers2012,duplicate2013,dataEorN2013,passengers2013,duplicate2014,dataEorN2014,passengers2014,duplicate2015,dataEorN2015,passengers2015,duplicate2016,dataEorN2016,passengers2016,duplicate2017,dataEorN2017,passengers2017
cv9109,43.54134000,142.12647000,平岸,北海道旅客鉄道,根室線,11,2,1,1,20,1,1,30,1,1,28,1,1,28,1,3,0,1,3,0,1,3,0
cv9110,43.47423000,142.26255000,野花南,北海道旅客鉄道,根室線,11,2,1,1,4,1,1,2,1,1,2,1,1,0,1,3,0,1,3,0,1,3,0
cv9111,43.55421000,142.05006000,赤平,北海道旅客鉄道,根室線,11,2,1,1,336,1,1,348,1,1,308,1,1,290,1,1,274,1,1,214,1,1,200
cv9112,43.19710000,142.41544000,下金山,北海道旅客鉄道,根室線,11,2,1,1,68,1,1,74,1,1,52,1,1,2,1,3,0,1,3,0,1,3,0
cv9113,42.90998000,143.04983000,芽室,北海道旅客鉄道,根室線,11,2,1,1,724,1,1,752,1,1,736,1,1,758,1,1,738,1,1,2970,1,1,670
cv9114,43.08091000,142.83304000,新得,北海道旅客鉄道,根室線,11,2,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,3,0
cv9115,43.24430000,142.38128000,山部,北海道旅客鉄道,根室線,11,2,1,1,92,1,1,84,1,1,68,1,1,80,1,3,0,1,3,0,1,3,0
cv9116,43.48787000,142.21193000,上芦別,北海道旅客鉄道,根室線,11,2,1,1,38,1,1,28,1,1,34,1,1,32,1,3,0,1,3,0,1,3,0
cv9117,43.16155000,142.56993000,幾寅,北海道旅客鉄道,根室線,11,2,1,1,126,1,1,114,1,1,116,1,1,104,1,3,0,1,3,0,1,3,0
cv9118,43.51559000,142.18574000,芦別,北海道旅客鉄道,根室線,11,2,1,1,372,1,1,392,1,1,346,1,1,306,1,1,286,1,3,0,1,1,218
cv9119,42.91635000,143.06989000,大成,北海道旅客鉄道,根室線,11,2,1,1,432,1,1,436,1,1,442,1,1,444,1,3,0,1,3,0,1,3,0
cv9120,43.53701000,142.08328000,茂尻,北海道旅客鉄道,根室線,11,2,1,1,68,1,1,74,1,1,52,1,1,56,1,3,0,1,3,0,1,3,0
cv9121,42.92895000,143.16547000,柏林台,北海道旅客鉄道,根室線,11,2,1,1,330,1,1,302,1,1,294,1,1,296,1,3,0,1,3,0,1,3,0
cv9122,43.16413000,142.52384000,東鹿越,北海道旅客鉄道,根室線,11,2,1,1,38,1,1,28,1,1,34,1,1,0,1,3,0,1,3,0,1,3,0
cv9123,43.13586000,142.41617000,金山,北海道旅客鉄道,根室線,11,2,1,1,20,1,1,30,1,1,28,1,1,8,1,3,0,1,3,0,1,3,0
cv9124,42.92401000,143.12754000,西帯広,北海道旅客鉄道,根室線,11,2,1,1,612,1,1,568,1,1,544,1,1,588,1,3,0,1,3,0,1,3,0
cv9125,42.94223000,142.93608000,御影,北海道旅客鉄道,根室線,11,2,1,1,124,1,1,92,1,1,68,1,1,72,1,3,0,1,3,0,1,3,0
cv9126,43.29226000,142.40057000,布部,北海道旅客鉄道,根室線,11,2,1,1,4,1,1,6,1,1,6,1,1,4,1,3,0,1,3,0,1,3,0
cv9127,43.12482000,142.66943000,落合,北海道旅客鉄道,根室線,11,2,1,1,0,1,1,0,1,1,0,1,1,6,1,3,0,1,3,0,1,3,0
cv9128,43.01214000,142.87997000,十勝清水,北海道旅客鉄道,根室線,11,2,1,1,666,1,1,642,1,1,648,1,1,630,1,1,658,1,1,632,1,1,602
cv9129,43.57445000,141.98229000,東滝川,北海道旅客鉄道,根室線,11,2,1,1,14,1,1,10,1,1,6,1,1,6,1,3,0,1,3,0,1,3,0
cv9130,43.55354000,141.89991000,滝川,北海道旅客鉄道,根室線,11,2,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,3,0
cv9131,43.07034000,141.33285000,桑園,北海道旅客鉄道,札沼線,11,2,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,3,0
cv9132,43.37067000,141.74244000,札比内,北海道旅客鉄道,札沼線,11,2,1,1,4,1,1,2,1,1,0,1,1,0,1,1,0,1,3,0,1,3,0
cv9133,43.24567000,141.56962000,石狩金沢,北海道旅客鉄道,札沼線,11,2,1,1,10,1,1,8,1,1,8,1,1,6,1,3,0,1,3,0,1,3,0
cv9134,43.23135000,141.55052000,北海道医療大学,北海道旅客鉄道,札沼線,11,2,1,1,2688,1,1,2830,1,1,3330,1,1,3400,1,3,0,1,3,0,1,3,0
cv9135,43.50278000,141.85566000,下徳富,北海道旅客鉄道,札沼線,11,2,1,1,0,1,1,0,1,1,0,1,1,0,1,3,0,1,3,0,1,3,0
cv9136,43.54538000,141.87428000,新十津川,北海道旅客鉄道,札沼線,11,2,1,1,0,1,1,0,1,1,0,1,1,0,1,3,0,1,3,0,1,3,0
cv9137,43.28054000,141.59191000,本中小屋,北海道旅客鉄道,札沼線,11,2,1,1,8,1,1,12,1,1,12,1,1,8,1,3,0,1,3,0,1,3,0
cv9138,43.45738000,141.84048000,鶴沼,北海道旅客鉄道,札沼線,11,2,1,1,0,1,1,0,1,1,0,1,1,0,1,3,0,1,3,0,1,3,0
